ID_EST,NOMBRE,PROVINCIA,MUNICIPIO,LATITUD,LONGITUD,ALTITUD
AL001,Nijar,4,66,36.9119,2.1719,120
AL002,Antas,4,16,37.2575,1.908889,125
AL003,Alhama de Almería,4,11,36.96083,2.537778,360
AL004,Almería,4,13,30.83611,2.3875,20
AL005,Cuevas de Almanzora,4,35,37.25528,1.801944,30
AL006,Abla,4,1,37.14722,2.768611,840
AL007,La Mojonera,4,903,36.471,2.4231,138
AL008,Chirivel,4,37,37.5892,3.73786,1080
CA001,Villamartín,11,41,36.84639,5.6216,150
CA002,Jimena de la Frontera,11,21,36.4103,5.4355,75
CA003,Olvera,11,24,36.9355,3.25,623
CA004,Jerez de la Frontera,11,20,36.71944,6.15278,30
CO001,Santaella,14,60,37.46194,4.89305,142
CO002,Montoro,14,43,38.00496,4.339612,198
CO003,Palma del Río,14,49,37.6855,5.3033,57
CO004,Nueva Carteya,14,46,37.59369,4.424603,415
CO005,La Rambla,14,57,37.6228,4.8267,275
CO006,Lucena,14,38,37.33962,4.477274,463
CO007,Carcabuey,14,15,37.4623,4.268707,530
CO008,Córdoba,14,21,37.7704,4.4883,245
CO009,Guadalcazar,14,33,37.72641,5.00454,173
CO010,Villaviciosa de Córdoba,14,73,38.0844,5.0017,750
CO011,Obejo,14,47,38.1344,4.7427,698
CO012,Dos Torres,14,23,38.2622,4.5339,614
GR001,Iznalloz,18,105,37.4555,3.556389,940
GR002,Guadix,18,89,37.28444,3.090556,1000
GR003,Motril,18,140,36.73694,3.495,20
GR004,Alhama de Granada,18,13,37.01,4.037,995
GR005,Lecrín,18,902,36.94639,3.5425,750
GR006,Montefrío,18,135,37.39139,4.006667,841
GR007,Órjiva,18,147,36.9,3.404444,400
GR008,Santa Fe,18,175,37.1975,3.6975,585
GR009,Zújar,18,194,37.5325,2.877778,860
GR010,Ugijar,18,182,36.96194,3.016667,700
HU001,Rio Tinto,21,18,37.68639,6.615277,350
HU002,Lepe,21,44,37.28159,7.073888,45
HU003,Ayamonte,21,10,37.2402,7.341388,30
HU004,Bollullos,21,13,37.33056,6.5425,80
HU005,Gibraleón1,21,35,37.39944,6.9975,75
HU006,Moguer,21,50,37.16333,6.851388,23
HU007,Almonte,21,5,37.10639,6.512777,20
HU008,Aracena,21,7,37.87194,6.5,550
HU009,Gibraleón 2,21,35,37.39139,6.869166,52
HU010,San Bartolomé de la Torre,21,63,37.39278,7.135,122
HU011,Cartaya,21,21,37.34306,7.1525,73
JA001,Guarromán,23,39,38.19833,3.666667,315
JA002,Santisteban del Puerto,23,79,38.16634,3.190556,520
JA003,Andújar,23,5,38.03555,4.085,200
JA004,Bedmar - Garcíez,23,902,37.81194,3.403333,660
JA005,Los Villares,23,,37.73111,3.796944,780
JA006,Torres de Albánchez,23,91,38.39944,2.663889,670
JA007,Villacarrillo,23,95,38.05722,3.006389,700
JA008,Castillo de Locubín,23,26,37.53917,3.964444,680
JA009,Huelma,23,44,37.68972,3.391667,820
JA010,Peal del Becerro,23,,37.89083,3.157778,460
JA011,Castellar de Santisteban,23,25,38.29056,3.125,660
JA012,Baeza,23,,37.92333,3.537222,400
JA013,Martos,23,60,37.7125,4.078889,400
JA014,Higuera de Arjona,23,40,37.97306,3.984444,360
JA015,Quesada,23,73,37.88333,3.070556,700
MA001,Estepona,29,51,36.46889,5.065556,41
MA002,Cartama,29,38,36.72806,4.643889,40
MA003,Casarabonela,29,40,36.77108,4.796388,234
MA004,Ronda,29,84,36.80694,5.156944,750
MA005,Villanueva de Algaida,29,15,37.18333,4.471944,480
MA006,Rincón de la Victoria,29,82,36.7175,4.271111,10
MA007,Periana,29,79,36.945,4.231944,550
MA008,Campillos,29,32,,,
SE001,Sevilla,41,91,37.35889,5.9475,12
SE002,Aznalcazar,41,40,37.20111,6.283056,15
SE003,Tocina,41,92,37.60833,5.698333,22
SE004,Puebla del Río,41,79,37.2025,5.163056,8
SE005,La Lantejuela,41,52,37.31778,5.285556,135
SE006,Utrera,41,95,37.08528,5.8925,10
SE007,Alanis,41,2,38.02806,5.684167,728
SE008,El Saucejo,41,90,37.07417,5.091667,520
SE009,Montellano,41,64,36.9775,5.561944,210
SE010,Puebla de los Infantes,41,78,37.80722,5.400278,350
SE011,Estepa,41,41,37.33333,4.903056,338
SE012,Puebla de Cazalla,41,77,37.12667,5.291111,250
